Salary1920,TwoP,TwoPA,TwoPP,eFGP,FT,FTA,FTP
25842697,6,10.1,0.596,0.595,1.8,3.7,0.5
3454080,3.4,5.7,0.588,0.579,2,2.8,0.735
2.60E+07,8.3,15.8,0.528,0.522,4.3,5.1,0.847
2429400,0.9,2.1,0.443,0.466,1.2,1.6,0.75
2376840,4.1,6.5,0.629,0.595,2.5,3.5,0.709
9258000,2,3.9,0.514,0.514,1.9,2.1,0.867
9073050,3.3,5.6,0.583,0.56,0.9,1.5,0.578
25842697,9.3,14.5,0.641,0.599,6.9,9.5,0.729
2159029,2.8,5.7,0.491,0.492,1.5,2.2,0.682
2281800,1.7,3,0.574,0.536,0.5,0.9,0.581
3.00E+06,1.3,2.5,0.527,0.544,1.1,1.3,0.873
7250000,2.3,4.5,0.511,0.566,2.2,2.6,0.866
9562920,7.2,12.2,0.588,0.585,2,2.7,0.746
1618520,2,4,0.494,0.549,0.8,1.1,0.739
8556120,5.3,9.8,0.534,0.525,2.9,4.2,0.691
8719320,2.3,4.9,0.482,0.488,0.4,1,0.417
5697600,2,3.7,0.555,0.525,0.8,1.3,0.587
2564753,3.2,6.8,0.479,0.468,1.4,2.1,0.705
12960000,2.7,6.1,0.447,0.475,1.3,1.7,0.77
1416852,1.6,3,0.522,0.468,0.6,0.9,0.643
25565217,1.8,3.5,0.519,0.553,1,1.2,0.865
5453280,1.6,3.2,0.519,0.518,1,1.2,0.855
19269662,2.7,5.8,0.465,0.472,1.9,2.6,0.726
27093019,6.8,12.4,0.548,0.54,4.4,5.5,0.808
2731714,2.3,4.1,0.56,0.584,0.7,0.8,0.848
5846154,1.7,3.7,0.468,0.52,1.4,1.6,0.903
2603982,2.7,5.4,0.508,0.487,1.1,1.7,0.64
7.00E+06,0.8,1.5,0.513,0.61,0.7,0.8,0.883
12345679,1.1,2.5,0.421,0.524,1.2,1.6,0.78
3.00E+06,1.8,3,0.607,0.603,1.2,1.7,0.699
6825000,2.4,4.4,0.539,0.566,0.9,1.2,0.761
15625000,4.4,7.6,0.582,0.548,2.3,3,0.75
8529386,3.2,7,0.462,0.496,1.9,2.3,0.827
1.70E+07,4.4,8.2,0.538,0.575,3,3.8,0.807
1416852,0.2,1.1,0.2,0.152,0.4,0.7,0.6
27250000,7,13.1,0.536,0.521,6.1,7.1,0.866
1588231,0.8,1.4,0.564,0.526,0.5,0.5,0.867
4161000,1.7,3,0.548,0.523,1.2,1.4,0.805
3755400,2.2,3.9,0.553,0.527,0.7,1,0.753
1443842,0.5,0.8,0.576,0.603,0.4,0.5,0.789
2.00E+07,4.3,7.9,0.544,0.575,2.2,2.4,0.928
1618520,1.9,4.6,0.415,0.463,1.2,1.7,0.733
1416852,1.4,3,0.457,0.436,0.6,0.8,0.75
6534829,3.7,7,0.529,0.525,1.8,2.7,0.658
1618520,1.6,2.8,0.558,0.55,0.5,0.7,0.69
3219480,1.4,3.2,0.455,0.462,0.6,0.9,0.681
1416582,2.8,5.3,0.523,0.523,1.2,1.6,0.725
7936508,3.8,5.6,0.685,0.648,1.5,1.9,0.781
1416852,0.8,1.7,0.455,0.451,0.3,0.4,0.667
1845301,1.4,2.8,0.505,0.533,1.2,1.5,0.84
8089282,2.1,3.9,0.542,0.53,1.7,1.9,0.867
1416852,0.6,2.1,0.265,0.395,0.7,0.8,0.813
2564753,1,2,0.48,0.55,0.6,0.9,0.712
